年度,屆別,獎項名稱,得獎作品,得獎單位/者,報名單位
84,6,最佳年度歌曲獎,祝福,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
84,6,最佳國語歌曲作詞人獎,最浪漫的事,姚若龍,音樂田有聲出版社有限公司
84,6,最佳方言歌曲作詞人獎,畫眉,王志誠（路寒袖）,水晶有聲出版社
84,6,最佳作曲人獎,雞婆三０一,劉福助,麗歌唱片廠股份有限公司
84,6,最佳編曲人獎,龍貓巴士,陳揚,點將股份有限公司
84,6,最佳單曲歌唱錄影帶影片獎,我是誰,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
84,6,最佳錄音獎,〔海洋告別〕,水晶有聲出版社、樂爾音樂製作錄音室,水晶有聲出版社、樂爾音樂製作錄音室
84,6,最佳演唱專輯獎,〔左右張清芳〕,點將股份有限公司,點將股份有限公司
84,6,最佳演奏專輯獎,〔音樂的眼淚〕,巨石音樂有限公司,巨石音樂有限公司
84,6,最佳演唱專輯製作人獎,〔張宇專輯－用心良苦〕,蔡宗政,歌林股份有限公司
84,6,最佳演奏專輯製作人獎,〔海洋告別〕,史辰蘭、謝知本,水晶有聲出版社
84,6,最佳國語歌曲男演唱人獎,〔塵緣〕,殷正洋,巨石音樂有限公司
84,6,最佳方言歌曲男演唱人獎,〔真心換絕情〕,吳宗憲,神采製作有限公司
84,6,最佳國語歌曲女演唱人獎,〔舉棋不定〕,張清芳,點將股份有限公司
84,6,最佳方言歌曲女演唱人獎,〔想厝的心情、傷心往事〕,張秀卿,歌林股份有限公司
84,6,最佳演唱組獎,〔我願是你最溫柔的風〕,凡人二重唱（莫凡、袁惟仁）,歌林股份有限公司
84,6,新人獎,〔不要讓我再愛你再想你〕,陳柏菁（陳震）,藍與白唱片有限公司
84,6,特別獎,,林二、葉俊麟,
