年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
85,7,最佳國語歌曲作詞人獎,情到濃時,何厚華,寶麗金唱片股份有限公司發行（奇花音樂事業有限公司製作）
85,7,最佳國語歌曲作詞人獎,走,李子恒,飛碟企業股份有限公司
85,7,最佳國語歌曲作詞人獎,相親相愛,陳樂融,飛碟企業股份有限公司
85,7,最佳國語歌曲作詞人獎,心甘情願,林秋離,豐華唱片股份有限公司
85,7,最佳國語歌曲作詞人獎,永遠相信,姚若龍,台灣滾石唱片股份有限公司
85,7,最佳方言歌曲作詞人獎,蝴蝶夢飛,陳維祥,吉馬唱片錄音帶有限公司
85,7,最佳方言歌曲作詞人獎,叫阮的名,何啟弘,科藝百代股份有限公司
85,7,最佳方言歌曲作詞人獎,思念的歌,王志誠（路寒袖）,科藝百代股份有限公司
85,7,最佳方言歌曲作詞人獎,若是到恒春,廖偉莰（宋澤萊）,藍與白唱片有限公司
85,7,最佳方言歌曲作詞人獎,魚,許常德,東達唱片股份有限公司
85,7,最佳演唱專輯獎,〔天空〕,福茂唱片音樂股份有限公司,福茂唱片音樂股份有限公司
85,7,最佳演唱專輯獎,〔其實我好想有人陪〕,波麗佳音股份有限公司,波麗佳音股份有限公司
85,7,最佳演唱專輯獎,〔愛的一生〕,東達唱片股份有限公司,東達唱片股份有限公司
85,7,最佳演唱專輯獎,〔暗淡的月〕,東方唱片企業有限公司,東方唱片企業有限公司
85,7,最佳演唱專輯獎,〔晚安曲〕,飛碟企業股份有限公司,飛碟企業股份有限公司
85,7,最佳演唱專輯製作人獎,〔圈兒詞〕,周子寒,藍與白唱片有限公司
85,7,最佳演唱專輯製作人獎,〔天空〕,楊明煌,福茂唱片音樂股份有限公司
85,7,最佳演唱專輯製作人獎,〔愛的一生〕,洪榮宏、洪敬堯,東達唱片股份有限公司
85,7,最佳演唱專輯製作人獎,〔天下有情人〕,周華健、蔡朝華,台灣滾石唱片股份有限公司
85,7,最佳演唱專輯製作人獎,〔真永遠〕,李安修、陳耀川,臺灣藝能動音有限公司
85,7,最佳方言歌曲男演唱人獎,〔愛人醉落去〕,蔡金虎（蔡小虎）,名冠唱片錄音帶出版社
85,7,最佳方言歌曲男演唱人獎,〔空笑夢〕,王中平,藍與白唱片有限公司
85,7,最佳方言歌曲男演唱人獎,〔茶噢〕,李茂山,上華國際企業股份有限公司
85,7,最佳方言歌曲男演唱人獎,〔啊！傷心的話〕,王識賢,台灣滾石唱片股份有限公司
85,7,最佳方言歌曲男演唱人獎,〔若是我回頭來牽你的手〕,洪榮宏,東達唱片股份有限公司
85,7,最佳方言歌曲女演唱人獎,〔放捨你我心嘸甘〕,張秀卿,鄉城唱片股份有限公司
85,7,最佳方言歌曲女演唱人獎,〔酒是舞伴你是性命〕,曾小萍（曾心梅）,鄉城唱片股份有限公司
85,7,最佳方言歌曲女演唱人獎,〔海波浪〕,方瑞娥,歌林股份有限公司
85,7,最佳方言歌曲女演唱人獎,〔愛不對人〕,江淑惠（江蕙）,點將股份有限公司
85,7,最佳作曲人獎,爸爸,洪榮宏,東達唱片股份有限公司
85,7,最佳作曲人獎,點亮霓虹燈,黃國倫,點將股份有限公司
85,7,最佳作曲人獎,領悟,李宗盛,台灣滾石唱片股份有限公司
85,7,最佳作曲人獎,天下有情人,周華健,台灣滾石唱片股份有限公司
85,7,最佳作曲人獎,歡聚歌,陳志昇（陳昇）,台灣滾石唱片股份有限公司
85,7,最佳編曲人獎,風暴,洪敬堯,波麗佳音股份有限公司
85,7,最佳編曲人獎,笨惰仙,鍾興民,東達唱片股份有限公司
