年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
108,30,演唱類出版獎,年度專輯獎,Ugly Beauty,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,蔡依林
108,30,演唱類出版獎,年度歌曲獎,玫瑰少年《Ugly Beauty》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,蔡依林
108,30,演唱類出版獎,最佳國語專輯獎,希遊記,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,孫盛希
108,30,演唱類出版獎,最佳台語專輯獎,廖士賢 西部,角頭文化事業股份有限公司,角頭文化事業股份有限公司,廖士賢
108,30,演唱類出版獎,最佳客語專輯獎,落腳,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,羅思容
108,30,演唱類出版獎,最佳原住民語專輯獎,斯瓦細格,好哦工作室,好哦工作室,雅維·茉芮
108,30,演唱類出版獎,最佳音樂錄影帶獎,Slow/Oriental《CASSA NOVA 半熟王子》,夕陽音樂產業有限公司,夕陽音樂產業有限公司,"Namso,Youkim"
108,30,演唱類個人獎,最佳作曲人獎,Forever Young《垂直活著，水平留戀著。》,艾怡良,百代唱片股份有限公司,艾怡良
108,30,演唱類個人獎,最佳作詞人獎,新寫的舊歌《新寫的舊歌》,李宗盛,相信音樂國際股份有限公司,李宗盛
108,30,演唱類個人獎,最佳編曲人獎,遙遠的所在 Styx《廖士賢 西部》,尊室安,角頭文化事業股份有限公司,廖士賢
108,30,演唱類個人獎,最佳專輯製作人獎,L.O.V.E.,王雙駿,環球國際唱片股份有限公司,陳奕迅
108,30,演唱類個人獎,最佳單曲製作人獎,不開燈俱樂部BKD CLUB《都市病》,余佳倫、黃宣,漢室音樂有限公司,YELLOW
108,30,演唱類個人獎,最佳國語男歌手獎,無病呻吟有情抒情,Leo王,顏社企業有限公司,Leo王
108,30,演唱類個人獎,最佳國語女歌手獎,0,林憶蓮,環球國際唱片股份有限公司,林憶蓮
108,30,演唱類個人獎,最佳台語男歌手獎,溫一壺青春下酒,流氓阿德,洗耳恭聽股份有限公司,流氓阿德
108,30,演唱類個人獎,最佳台語女歌手獎,露螺,江惠儀,藤音樂工作室,江惠儀
108,30,演唱類個人獎,最佳客語歌手獎,理所當然,楊淑喻(吉那罐子),無限美好文創娛樂有限公司,楊淑喻
108,30,演唱類個人獎,最佳原住民語歌手獎,斯瓦細格,雅維·茉芮,好哦工作室,雅維·茉芮
108,30,演唱類個人獎,最佳樂團獎,政治,閃靈:林昶佐、劉笙彙、葉湘怡、汪子驤、高嘉嶸,衝組創玩有限公司,閃靈
108,30,演唱類個人獎,最佳演唱組合獎,Lovely Sunday樂芙莉聖代,椅子樂團:裘詠靖、陳仲穎、孫伯元,明天的歌有限公司,椅子樂團
108,30,演唱類個人獎,最佳新人獎,ØZI The Album,ØZI,新樂園音樂有限公司,ØZI
108,30,演奏類出版獎,演奏類最佳專輯獎,Lines & Stains,山下民謠有限公司,山下民謠有限公司,東京中央線 Feat.謝明諺
108,30,演奏類個人獎,演奏類最佳專輯製作人獎,黑熊森林電影原聲帶,陳建年,夏日紀事音像文化有限公司,陳建年
108,30,演奏類個人獎,演奏類最佳作曲人獎,"第三章：印度、義大利與我 CHAPTER III： INDIA, ITALY AND I《波傑克特三 PROJECT 3》",許郁瑛,香港商華納音樂出版有限公司台灣分公司,許郁瑛
108,30,技術類個人獎,最佳裝幀設計獎,Hold That Tiger / 擒虎記,泥灘地浪人音樂工作室,泥灘地浪人音樂工作室,黃家賢、楊豐銘
108,30,技術類出版獎,最佳演唱錄音專輯獎,0,環球國際唱片股份有限公司,環球國際唱片股份有限公司,主要錄音人員：倪涵文、林灝揚Y.Lam、張德銘Derrick Sepnio、常石磊、李卓／主要混音人員：Brent Clark／主要母帶後製人員：Ryan Smith
108,30,技術類出版獎,最佳演奏錄音專輯獎,The Journey,海蝶音樂股份有限公司,海蝶音樂股份有限公司,主要錄音人員：李楊、李遊／主要混音人員：Dave Darlington／主要母帶後製人員：Dave Darlington
108,30,評審團獎,評審團獎,Modern Tragedy,王若琳,,
108,30,特別貢獻獎,特別貢獻獎,,黑名單工作室,,
