年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
105,27,演唱類出版獎,最佳年度歌曲獎,不要放棄Aka pisawad（母語版）《太陽的孩子 Wawa No Cidal 電影原聲帶》,舒米恩工作室,舒米恩工作室,舒米恩・魯碧
105,27,演唱類出版獎,最佳年度歌曲獎,母系社會《AMIT2》,百代唱片股份有限公司,百代唱片股份有限公司,AMIT
105,27,演唱類出版獎,最佳年度歌曲獎,不為誰而作的歌《實驗專輯 和自己對話》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,林俊傑
105,27,演唱類出版獎,最佳年度歌曲獎,下雨的夜晚《冬 未了》,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類出版獎,最佳年度歌曲獎,小幸運《我的少女時代》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,田馥甄
105,27,演唱類出版獎,最佳國語專輯獎,搖擺電力公司,彎的音樂有限公司,彎的音樂有限公司,許哲珮
105,27,演唱類出版獎,最佳國語專輯獎,謝震廷/ 查理 PROGRESS REPORTS,十全媒體娛樂行銷股份有限公司,十全媒體娛樂行銷股份有限公司,謝震廷
105,27,演唱類出版獎,最佳國語專輯獎,AMIT2,百代唱片股份有限公司,百代唱片股份有限公司,AMIT
105,27,演唱類出版獎,最佳國語專輯獎,失語者,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,蔡健雅
105,27,演唱類出版獎,最佳國語專輯獎,冬 未了,環球國際唱片股份有限公司,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類出版獎,最佳國語專輯獎,∞ 無限,人人有功練音樂工作室,人人有功練音樂工作室,熊仔
105,27,演唱類出版獎,最佳台語專輯獎,台語新浪潮,動脈音樂文化傳播有限公司,動脈音樂文化傳播有限公司,荒山亮
105,27,演唱類出版獎,最佳台語專輯獎,歌聲進鄉團,亂音製作有限公司,亂音製作有限公司,施文彬
105,27,演唱類出版獎,最佳台語專輯獎,古倫美亞,喜歡唱片股份有限公司,喜歡唱片股份有限公司,陳建瑋
105,27,演唱類出版獎,最佳台語專輯獎,張三李四,安樂茂思國際事業有限公司,安樂茂思國際事業有限公司,張三李四
105,27,演唱類出版獎,最佳台語專輯獎,緩緩愛,動脈音樂文化傳播有限公司,動脈音樂文化傳播有限公司,江惠儀
105,27,演唱類出版獎,最佳客語專輯獎,大嶺腳下,同路事業有限公司,同路事業有限公司,秋林
105,27,演唱類出版獎,最佳客語專輯獎,驚喜時刻,上行娛樂股份有限公司,上行娛樂股份有限公司,羅文裕
105,27,演唱類出版獎,最佳客語專輯獎,靚靚,伊仕寶事業有限公司,伊仕寶事業有限公司,iColor愛客樂
105,27,演唱類出版獎,最佳客語專輯獎,異鄉人,有料音樂有限公司,有料音樂有限公司,黃子軒
105,27,演唱類出版獎,最佳原住民語專輯獎,自由的旅程,藤音樂工作室,藤音樂工作室,蘇瓦那與CMO樂團
105,27,演唱類出版獎,最佳原住民語專輯獎,洄游,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司,吳昊恩
105,27,演唱類出版獎,最佳原住民語專輯獎,大巴六九部落傳唱歌謠,百代唱片股份有限公司,百代唱片股份有限公司,大巴六九
105,27,演唱類出版獎,最佳音樂錄影帶獎,盛夏光年《盛夏光年》,相信音樂國際股份有限公司,相信音樂國際股份有限公司,蘇建益
105,27,演唱類出版獎,最佳音樂錄影帶獎,如同悲傷被下載了兩次《如同悲傷被下載了兩次》,亞神音樂娛樂股份有限公司,亞神音樂娛樂股份有限公司,談宗藩
105,27,演唱類出版獎,最佳音樂錄影帶獎,I'm Not Yours《呸》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,陳奕仁
105,27,演唱類出版獎,最佳音樂錄影帶獎,I am alive feat. Jason Mraz《新地球》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,劉耕名
105,27,演唱類出版獎,最佳音樂錄影帶獎,我想知道你的一切《機會與命運》,相知國際股份有限公司,相知國際股份有限公司,陳宏一
105,27,演唱類個人獎,最佳作曲人獎,黑鳥《古倫美亞》,陳建瑋,喜歡唱片股份有限公司,陳建瑋
105,27,演唱類個人獎,最佳作曲人獎,失語者《失語者》,蔡健雅,亞神音樂娛樂股份有限公司,蔡健雅
105,27,演唱類個人獎,最佳作曲人獎,不為誰而作的歌《實驗專輯 和自己對話》,林俊傑,華納國際音樂股份有限公司,林俊傑
105,27,演唱類個人獎,最佳作曲人獎,下雨的夜晚《冬 未了》,吳青峰,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳作曲人獎,小幸運《我的少女時代》,JerryC,華研國際音樂股份有限公司,田馥甄
105,27,演唱類個人獎,最佳作詞人獎,生份的情歌《古倫美亞》,謝銘祐,喜歡唱片股份有限公司,陳建瑋
105,27,演唱類個人獎,最佳作詞人獎,拆《張三李四》,武雄,安樂茂思國際事業有限公司,張三李四
105,27,演唱類個人獎,最佳作詞人獎,母系社會《AMIT2》,陳仨,百代唱片股份有限公司,AMIT
105,27,演唱類個人獎,最佳作詞人獎,痛快的哀艷《冬 未了》,吳青峰,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳作詞人獎,他舉起右手點名《冬 未了》,吳青峰,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳編曲人獎,Would you be my girl《古倫美亞》,陳建瑋、陳君豪、Jakub Kubi Groos、奧迪、李達文,喜歡唱片股份有限公司,陳建瑋、大支
105,27,演唱類個人獎,最佳編曲人獎,給提姆波頓先生的一封信《搖擺電力公司》,許郁瑛、盧律銘,彎的音樂有限公司,許哲珮
105,27,演唱類個人獎,最佳編曲人獎,深海之尋《李健 第六張 創作專輯》,趙兆,海蝶音樂股份有限公司,李健
105,27,演唱類個人獎,最佳編曲人獎,活著是最好的死亡《失語者》,常石磊、安棟,亞神音樂娛樂股份有限公司,蔡健雅
105,27,演唱類個人獎,最佳編曲人獎,痛快的哀艷《冬 未了》,蘇打綠、林暐哲,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳專輯製作人獎,搖擺電力公司,許哲珮、王希文,彎的音樂有限公司,許哲珮
105,27,演唱類個人獎,最佳專輯製作人獎,AMIT2,阿弟仔、AMIT,百代唱片股份有限公司,AMIT
105,27,演唱類個人獎,最佳專輯製作人獎,失語者,安棟、蔡健雅,亞神音樂娛樂股份有限公司,蔡健雅
105,27,演唱類個人獎,最佳專輯製作人獎,實驗專輯 和自己對話,林俊傑,華納國際音樂股份有限公司,林俊傑
105,27,演唱類個人獎,最佳專輯製作人獎,冬 未了,林暐哲,環球國際唱片股份有限公司,蘇打綠
105,27,演唱類個人獎,最佳單曲製作人獎,呷飽未《台灣美樂地》,蕭賀碩,大吉祥整合行銷有限公司,蕭賀碩
105,27,演唱類個人獎,最佳單曲製作人獎,燈光《謝震廷/ 查理 PROGRESS REPORTS》,謝震廷、蔡政勳,十全媒體娛樂行銷股份有限公司,謝震廷
105,27,演唱類個人獎,最佳單曲製作人獎,深海之尋《李健 第六張 創作專輯》,趙兆,海蝶音樂股份有限公司,李健
105,27,演唱類個人獎,最佳單曲製作人獎,練習失去《一半。萬芳的小劇場》,陳建騏,滾石國際音樂股份有限公司,萬芳
105,27,演唱類個人獎,最佳單曲製作人獎,大齡女子《大齡女子》,陳建騏,金牌大風音樂文化股份有限公司,彭佳慧
105,27,演唱類個人獎,最佳國語男歌手獎,亞洲通殺2015,黃明志,量能文創股份有限公司,黃明志
105,27,演唱類個人獎,最佳國語男歌手獎,李健 第六張 創作專輯,李健,海蝶音樂股份有限公司,李健
105,27,演唱類個人獎,最佳國語男歌手獎,你不真的想流浪,柯智棠,台灣索尼音樂娛樂股份有限公司,柯智棠
105,27,演唱類個人獎,最佳國語男歌手獎,東南美,Matzka,台灣索尼音樂娛樂股份有限公司,Matzka
105,27,演唱類個人獎,最佳國語男歌手獎,實驗專輯 和自己對話,林俊傑,華納國際音樂股份有限公司,林俊傑
105,27,演唱類個人獎,最佳國語女歌手獎,搖擺電力公司,許哲珮,彎的音樂有限公司,許哲珮
105,27,演唱類個人獎,最佳國語女歌手獎,小霞,小霞,台灣索尼音樂娛樂股份有限公司,小霞
105,27,演唱類個人獎,最佳國語女歌手獎,冥明,蘇運瑩,台灣索尼音樂娛樂股份有限公司,蘇運瑩
105,27,演唱類個人獎,最佳國語女歌手獎,AMIT2,AMIT,百代唱片股份有限公司,AMIT
105,27,演唱類個人獎,最佳國語女歌手獎,失語者,蔡健雅,亞神音樂娛樂股份有限公司,蔡健雅
105,27,演唱類個人獎,最佳國語女歌手獎,大齡女子,彭佳慧,金牌大風音樂文化股份有限公司,彭佳慧
105,27,演唱類個人獎,最佳台語男歌手獎,古倫美亞,陳建瑋,喜歡唱片股份有限公司,陳建瑋
